M-G362 CSV Log File created by Python,Log Duration (sec): 300.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-20 15:23:58.914000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000001,+0.048458,+0.167275,+0.010059,+1001.584658,+69.163311,-10.469284,+30.588430,00384,,1487633038.934000
000000002,+0.079004,+0.121895,+0.081144,+1000.658411,+67.081083,-8.861519,+30.579885,00759,,1487633038.964000
000000003,+0.027734,+0.061053,+0.069668,+1003.330292,+68.231983,-9.554977,+30.579885,01134,,1487633038.964000
000000004,+0.043264,+0.056262,+0.039352,+1001.244936,+68.467588,-8.618414,+30.579885,01509,,1487633038.964000
000000005,+0.079401,-0.004026,+0.049383,+1002.173187,+68.463209,-8.853910,+30.584157,01884,,1487633038.984000
000000006,+0.084473,+0.016134,+0.059817,+999.718540,+68.943604,-11.508348,+30.584157,02259,,1487633038.984000
000000007,+0.058746,+0.111911,+0.014723,+1000.654341,+69.168856,-10.581623,+30.584157,02634,,1487633038.984000
000000008,+0.079033,+0.137222,+0.040670,+1002.748549,+66.612795,-8.872124,+30.575612,03009,,1487633039.004000
000000009,+0.094683,+0.107198,+0.010092,+1000.890831,+69.167696,-9.886126,+30.579885,03384,,1487633039.004000
000000010,+0.084170,+0.076362,+0.121381,+1000.419172,+68.243469,-10.589605,+30.584157,03759,,1487633039.004000
000000011,+0.120581,+0.031730,+0.014749,+1001.358438,+70.090317,-9.879480,+30.584157,04134,,1487633039.024000
000000012,+0.063729,+0.121974,+0.035219,+1004.140892,+65.911406,-8.883797,+30.579885,04509,,1487633039.034000
000000013,+0.156069,+0.132526,+0.092460,+1000.310545,+70.560904,-10.450855,+30.579885,04884,,1487633039.034000
000000014,+0.094635,-0.014135,+0.090133,+998.333069,+67.089825,-9.085842,+30.579885,05259,,1487633039.054000
000000015,+0.115168,+0.046485,+0.091021,+999.609232,+68.012377,-9.893465,+30.584157,05634,,1487633039.054000
000000016,+0.115106,+0.081771,+0.091379,+1001.820118,+69.278702,-10.004587,+30.584157,06009,,1487633039.054000
000000017,+0.120499,+0.031621,+0.040146,+1003.107594,+67.529564,-7.590273,+30.584157,06384,,1487633039.074000
000000018,+0.171662,+0.036866,+0.091699,+1001.582813,+66.500975,-9.449738,+30.579885,06759,,1487633039.074000
000000019,+0.171664,+0.102296,+0.102509,+1000.171610,+65.699564,-11.888863,+30.588430,07134,,1487633039.074000
000000020,+0.079373,+0.076782,+0.014647,+1001.246016,+68.349068,-8.388191,+30.584157,07509,,1487633039.104000
000000021,+0.130516,+0.046632,+0.091239,+1005.532854,+65.792023,-9.237270,+30.579885,07884,,1487633039.104000
000000022,+0.109812,+0.036312,+0.116258,+998.335108,+68.250303,-9.306232,+30.575612,08259,,1487633039.104000
000000023,+0.079516,+0.051709,-0.016085,+1000.991535,+67.898432,-11.870178,+30.584157,08634,,1487633039.144000
000000024,+0.109972,+0.086795,+0.086280,+1002.059053,+67.766640,-8.164410,+30.584157,09009,,1487633039.144000
000000025,+0.058590,+0.116755,+0.060488,+1002.050074,+67.075888,-9.330421,+30.584157,09384,,1487633039.144000
000000026,+0.115243,+0.097113,+0.040740,+1001.249138,+69.854893,-8.605883,+30.584157,09759,,1487633039.144000
000000027,+0.099809,+0.000976,+0.095429,+1000.773966,+67.311037,-9.092184,+30.584157,10134,,1487633039.144000
000000028,+0.058549,+0.056066,+0.105587,+1000.996679,+65.228273,-9.692331,+30.584157,10509,,1487633039.164000
000000029,+0.058840,+0.016163,+0.013758,+1002.053825,+67.423622,-8.862785,+30.579885,10884,,1487633039.164000
000000030,+0.089418,+0.127074,+0.061012,+1003.217567,+66.372992,-8.065359,+30.584157,11259,,1487633039.164000
000000031,+0.110109,+0.046555,+0.065555,+998.558250,+66.047434,-9.792685,+30.584157,11634,,1487633039.194000
000000032,+0.079289,+0.086777,+0.035066,+1000.545725,+68.701109,-9.078320,+30.584157,12009,,1487633039.194000
000000033,-0.003022,+0.055884,+0.043798,+1003.909214,+68.463093,-10.018469,+30.579885,12384,,1487633039.194000
000000034,+0.104818,+0.107079,+0.055946,+1001.464203,+66.618702,-9.912050,+30.579885,12759,,1487633039.194000
000000035,+0.135691,+0.092194,+0.056215,+998.777174,+68.259565,-13.134535,+30.579885,13134,,1487633039.224000
000000036,+0.027659,+0.136616,+0.075508,+1002.283157,+66.842768,-9.101475,+30.584157,13509,,1487633039.224000
000000037,+0.104797,+0.011178,+0.090536,+1003.909851,+67.768873,-9.560663,+30.575612,13884,,1487633039.224000
000000038,+0.089422,+0.076810,+0.040197,+1002.742022,+69.051798,-11.168100,+30.575612,14259,,1487633039.254000
000000039,+0.099674,+0.071666,+0.075835,+1002.159679,+67.660992,-10.716112,+30.579885,14634,,1487633039.254000
