M-G362 CSV Log File created by Python,Log Duration (sec): 10.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-02 16:21:01.747000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000001,+0.138168,+0.030946,+0.055173,-173.196005,+889.939035,+426.788815,+34.455043,00055,,1486081261.874000
000000002,+0.127742,+0.045844,+0.090757,-171.795631,+889.235117,+428.053591,+34.455043,00102,,1486081261.874000
000000003,+0.127740,+0.030805,+0.075363,-171.784849,+889.927029,+429.452393,+34.450770,00149,,1486081261.874000
000000004,+0.189520,+0.076737,+0.056335,-172.706152,+891.083551,+430.393711,+34.455043,00196,,1486081261.874000
000000005,+0.148419,+0.051201,+0.055518,-172.579189,+891.425167,+432.020386,+34.455043,00243,,1486081261.875000
000000006,+0.086596,+0.111253,+0.055289,-173.851912,+892.470314,+432.498268,+34.455043,00289,,1486081261.875000
000000007,+0.071133,+0.121199,+0.060262,-175.714121,+892.594070,+432.041471,+34.455043,00336,,1486081261.875000
000000008,+0.101963,+0.091064,+0.085785,-174.437941,+892.243013,+431.802076,+34.455043,00383,,1486081261.875000
000000009,+0.101979,+0.091086,+0.080703,-175.257133,+891.784895,+431.104467,+34.455043,00430,,1486081261.875000
000000010,+0.045283,+0.095540,+0.115554,-175.496523,+890.861532,+430.400623,+34.455043,00477,,1486081261.875000
000000011,+0.050451,+0.090558,+0.110491,-174.559364,+890.506260,+431.786158,+34.455043,00524,,1486081261.876000
000000012,+0.060898,+0.045351,+0.084763,-173.968494,+891.194866,+433.066622,+34.455043,00571,,1486081261.876000
000000013,+0.091756,+0.045589,+0.085184,-173.839458,+894.783428,+433.447882,+34.455043,00618,,1486081261.876000
000000014,+0.086263,+0.105747,+0.161953,-174.295410,+897.796099,+433.477644,+34.455043,00664,,1486081261.876000
000000015,+0.101547,+0.126024,+0.172536,-172.676687,+895.941151,+432.875492,+34.450770,00711,,1486081261.876000
000000016,+0.137735,+0.101143,+0.152441,-173.741901,+893.169416,+431.112585,+34.455043,00758,,1486081261.876000
000000017,+0.143199,+0.020722,+0.095794,-173.989252,+891.902491,+429.245626,+34.455043,00805,,1486081261.877000
000000018,+0.081485,+0.000026,+0.104910,-173.414642,+891.324146,+428.426405,+34.455043,00852,,1486081261.877000
000000019,+0.107214,-0.045259,+0.125127,-173.185627,+890.165241,+428.414782,+34.455043,00899,,1486081261.877000
000000020,+0.158539,-0.009484,+0.116028,-172.487114,+889.932135,+428.642769,+34.450770,00946,,1486081261.877000
000000021,+0.091817,+0.020391,+0.079847,-172.021877,+889.928461,+428.756779,+34.455043,00993,,1486081261.877000
000000022,+0.071406,+0.030563,+0.023770,-172.595449,+891.550259,+429.237823,+34.455043,01039,,1486081261.878000
000000023,+0.071401,+0.005277,+0.038759,-174.219303,+892.713963,+429.253988,+34.455043,01086,,1486081261.878000
000000024,+0.127779,+0.071174,+0.065605,-174.579084,+890.865292,+428.309858,+34.455043,01133,,1486081261.878000
000000025,+0.163935,+0.076715,+0.015331,-174.824015,+889.016993,+427.133377,+34.455043,01180,,1486081261.878000
000000026,+0.158632,+0.111851,+0.046109,-173.903114,+886.466738,+426.874475,+34.455043,01227,,1486081261.878000
000000027,+0.081457,+0.080883,+0.070157,-171.930895,+884.954016,+426.969904,+34.455043,01274,,1486081261.879000
000000028,+0.081408,+0.080817,+0.085402,-171.804625,+887.616093,+427.342470,+34.455043,01321,,1486081261.879000
000000029,+0.132690,+0.101235,+0.121880,-172.019455,+889.811104,+429.219635,+34.455043,01368,,1486081261.880000
000000030,+0.142991,+0.111446,+0.111960,-171.193344,+889.801342,+431.304718,+34.455043,01414,,1486081261.881000
000000031,+0.173852,+0.121931,+0.081998,-171.307793,+890.266672,+431.309904,+34.450770,01461,,1486081261.881000
000000032,+0.137930,+0.076258,+0.081046,-171.890362,+890.733459,+430.852201,+34.450770,01508,,1486081261.881000
000000033,+0.138007,+0.020616,+0.110969,-173.166945,+892.010860,+430.635887,+34.455043,01555,,1486081261.883000
000000034,+0.132970,+0.015664,+0.080357,-173.869211,+891.319944,+430.167698,+34.455043,01602,,1486081261.883000
000000035,+0.117466,+0.030611,+0.095545,-174.797373,+890.510151,+430.859032,+34.455043,01649,,1486081261.884000
000000036,+0.081479,+0.040466,+0.084993,-174.795990,+890.509378,+431.091003,+34.455043,01696,,1486081261.884000
000000037,+0.055690,+0.045224,+0.105019,-174.317549,+892.240295,+432.497608,+34.455043,01743,,1486081261.884000
000000038,+0.040366,+0.019837,+0.109631,-173.376299,+893.620876,+433.782997,+34.459315,01789,,1486081261.884000
000000039,+0.081417,+0.020158,+0.115278,-172.904375,+895.357347,+434.030212,+34.455043,01836,,1486081261.885000
000000040,+0.112294,+0.030665,+0.080234,-173.959444,+895.483858,+432.411369,+34.450770,01883,,1486081261.885000
000000041,+0.086845,+0.081253,-0.005998,-174.785957,+894.563902,+430.781073,+34.455043,01930,,1486081261.885000
000000042,+0.097106,+0.086354,-0.000725,-175.496178,+894.689461,+428.580711,+34.455043,01977,,1486081261.885000
000000043,+0.071140,+0.070650,+0.085159,-173.295292,+892.366039,+428.435802,+34.455043,02024,,1486081261.885000
000000044,+0.066084,+0.030281,+0.079598,-171.675241,+889.464407,+428.635313,+34.455043,02071,,1486081261.886000
000000045,+0.066025,+0.045369,+0.089915,-172.022223,+890.740679,+428.300442,+34.455043,02118,,1486081261.886000
000000046,+0.066019,+0.030193,+0.099925,-172.478867,+892.825706,+428.669472,+34.455043,02164,,1486081261.886000
000000047,+0.081251,+0.095773,+0.126209,-172.239473,+893.981077,+429.259504,+34.455043,02211,,1486081261.886000
000000048,+0.086265,+0.151252,+0.137005,-172.816505,+894.444773,+429.729683,+34.455043,02258,,1486081261.886000
000000049,+0.107065,+0.096103,+0.096070,-172.356750,+893.634045,+429.256624,+34.455043,02305,,1486081261.886000
000000050,+0.127912,+0.051130,+0.034910,-174.689095,+891.558233,+429.012669,+34.455043,02352,,1486081261.887000
000000051,+0.143244,+0.051117,+0.065611,-173.765081,+888.890236,+429.332605,+34.455043,02399,,1486081261.887000
000000052,+0.184184,+0.086680,+0.086861,-173.061378,+888.770233,+430.373575,+34.450770,02446,,1486081261.887000
000000053,+0.184106,+0.091500,+0.132644,-173.170406,+889.692719,+431.194084,+34.455043,02493,,1486081261.887000
000000054,+0.137730,+0.141583,+0.132523,-173.276957,+890.151718,+432.590631,+34.455043,02539,,1486081261.887000
000000055,+0.055705,+0.110971,+0.065031,-172.337376,+890.607121,+433.983772,+34.455043,02586,,1486081261.887000
000000056,+0.061067,+0.060747,+0.023936,-171.989012,+891.186131,+433.640114,+34.455043,02633,,1486081261.888000
000000057,+0.025048,+0.070557,+0.023547,-172.000429,+891.308517,+431.669449,+34.455043,02680,,1486081261.888000
