frame	osa	sroa	vicon	draw	total
0.074	0.058	0.000	0.013	0.000	0.145
0.059	0.025	0.000	0.015	0.000	0.099
0.060	0.013	0.000	0.012	0.000	0.085
0.037	0.013	0.000	0.013	0.000	0.063
0.065	0.071	0.001	0.013	0.000	0.149
0.038	0.010	0.000	0.009	0.000	0.057
0.029	0.008	0.000	0.011	0.000	0.049
0.077	0.023	0.001	0.011	0.000	0.112
0.036	0.009	0.178	0.013	0.000	0.236
0.046	0.025	0.000	0.010	0.000	0.082
0.035	0.011	0.000	0.012	0.000	0.058
0.022	0.026	0.000	0.013	0.000	0.063
0.026	0.012	0.000	0.014	0.000	0.052
0.041	0.076	0.000	0.009	0.000	0.126
0.021	0.025	0.000	0.010	0.000	0.056
0.045	1.927	0.001	0.012	0.000	1.985
0.013	0.007	0.000	0.009	0.000	0.029
0.015	0.028	0.000	0.012	0.000	0.056
0.012	0.007	0.000	0.011	0.000	0.030
0.016	0.051	0.001	0.014	0.030	0.112
0.023	0.070	0.000	0.007	0.000	0.100
0.023	0.056	0.000	0.012	0.000	0.092
0.015	0.034	0.000	0.013	0.000	0.063
0.022	0.032	0.000	0.010	0.000	0.065
0.030	0.118	0.000	0.013	0.000	0.161
0.051	0.025	0.000	0.012	0.000	0.088
0.113	0.023	0.001	0.014	0.000	0.150
0.039	0.026	0.001	0.011	0.000	0.077
0.038	0.029	0.000	0.013	0.000	0.081
0.041	0.024	0.047	0.007	0.000	0.119
0.047	0.026	0.000	0.008	0.000	0.081
0.085	0.023	0.000	0.010	0.000	0.119
0.084	0.020	0.000	0.010	0.000	0.116
0.040	0.029	0.000	0.013	0.000	0.082
0.036	0.070	0.000	0.011	0.000	0.116
0.025	0.114	0.000	0.010	0.000	0.149
0.012	0.067	0.046	0.011	0.000	0.136
0.062	0.071	0.000	0.008	0.000	0.141
0.034	0.021	0.000	0.011	0.000	0.067
0.045	0.025	0.000	0.012	0.028	0.110
0.010	0.022	0.000	0.008	0.000	0.040
0.125	0.025	0.001	0.012	0.000	0.163
0.034	0.030	0.000	0.010	0.000	0.075
0.106	0.056	0.000	0.009	0.000	0.172
0.110	0.025	0.000	0.013	0.000	0.148
0.108	0.035	0.000	0.009	0.000	0.153
0.044	0.029	0.041	0.009	0.000	0.123
0.054	0.031	0.000	0.007	0.000	0.092
0.021	0.036	0.043	0.013	0.000	0.113
0.066	0.022	0.000	0.010	0.000	0.099
0.019	0.032	0.000	0.012	0.000	0.063
0.127	0.018	0.000	0.012	0.000	0.158
0.122	0.030	0.001	0.012	0.000	0.164
0.038	0.025	0.000	0.010	0.000	0.073
0.036	0.060	0.000	0.013	0.000	0.109
0.035	0.073	0.001	0.009	0.000	0.117
0.035	0.047	0.000	0.009	0.000	0.092
0.044	0.025	0.000	0.008	0.000	0.077
0.110	0.077	0.045	0.010	0.000	0.242
0.063	0.081	0.047	0.010	0.054	0.255
0.102	0.030	0.000	0.013	0.000	0.145
0.067	0.038	0.000	0.012	0.000	0.118
0.070	0.030	0.000	0.010	0.000	0.110
0.031	0.037	0.000	0.009	0.000	0.077
0.032	0.092	0.000	0.013	0.000	0.138
0.035	0.027	0.000	0.011	0.000	0.073
0.031	0.031	0.000	0.012	0.000	0.074
0.052	0.024	0.000	0.011	0.000	0.088
0.087	0.021	0.000	0.010	0.000	0.119
0.091	0.024	0.000	0.013	0.000	0.129
0.043	0.059	0.000	0.011	0.000	0.114
0.022	0.036	0.000	0.013	0.000	0.071
0.040	0.025	0.000	0.010	0.000	0.076
0.129	0.028	0.000	0.007	0.000	0.164
0.043	0.031	0.000	0.013	0.000	0.088
0.042	0.028	0.001	0.009	0.000	0.080
0.037	0.027	0.001	0.015	0.000	0.080
0.048	0.049	0.000	0.010	0.000	0.108
