frame	osa     sroa	vicon	draw	total
0.075	0.051	0.001	0.049	0.000	0.176
0.020	0.034	0.001	0.017	0.000	0.072
0.022	0.031	0.001	0.011	0.000	0.065
0.006	0.015	0.001	0.011	0.000	0.033
0.021	0.022	0.003	0.011	0.000	0.058
0.018	0.005	0.001	0.020	0.000	0.044
0.008	0.041	0.000	0.011	0.000	0.061
0.048	0.014	0.001	0.014	0.000	0.077
0.024	0.011	0.001	0.010	0.000	0.046
0.016	0.011	0.001	0.013	0.020	0.060
0.019	0.008	0.001	0.015	0.000	0.043
0.022	0.004	0.000	0.015	0.000	0.042
0.014	0.011	0.001	0.009	0.000	0.035
0.007	0.009	0.000	0.011	0.000	0.028
0.006	0.010	0.000	0.011	0.000	0.027
0.017	0.010	0.000	0.012	0.000	0.039
0.046	0.020	0.000	0.012	0.000	0.078
0.007	0.020	0.001	0.012	0.000	0.040
0.007	0.025	0.000	0.014	0.000	0.048
0.020	0.004	0.000	0.009	0.016	0.050
0.004	0.019	0.000	0.010	0.000	0.034
0.007	0.011	0.000	0.012	0.000	0.031
0.006	0.023	0.004	0.011	0.000	0.043
0.017	0.003	0.000	0.021	0.000	0.041
0.008	0.016	0.000	0.009	0.000	0.033
0.008	0.007	0.000	0.011	0.000	0.027
0.010	0.006	0.000	0.012	0.000	0.029
0.006	0.013	0.198	0.010	0.000	0.227
0.078	0.031	0.001	0.013	0.000	0.122
0.007	0.008	0.001	0.013	0.015	0.044
0.004	0.020	0.001	0.013	0.000	0.038
0.007	0.010	0.000	0.012	0.000	0.029
0.007	0.010	0.000	0.013	0.000	0.031
0.022	0.004	0.001	0.011	0.000	0.037
0.006	0.013	0.001	0.022	0.000	0.041
0.018	0.012	0.000	0.013	0.000	0.043
0.025	0.024	0.001	0.020	0.000	0.070
0.016	0.008	0.001	0.011	0.000	0.036
0.007	0.013	0.000	0.011	0.000	0.031
0.007	0.016	0.000	0.015	0.020	0.058
0.018	0.003	0.000	0.013	0.000	0.035
0.008	0.009	0.000	0.011	0.000	0.029
0.008	0.009	0.000	0.011	0.000	0.029
0.007	0.009	0.001	0.009	0.000	0.026
0.005	0.012	0.000	0.009	0.000	0.027
0.015	0.003	0.000	0.008	0.000	0.027
0.007	0.012	0.044	0.013	0.000	0.075
0.058	0.004	0.000	0.010	0.000	0.073
0.008	0.009	0.000	0.012	0.000	0.029
0.007	0.009	0.001	0.012	0.015	0.044
0.007	0.005	0.000	0.009	0.000	0.021
0.011	0.007	0.000	0.014	0.000	0.033
0.019	0.027	0.000	0.010	0.000	0.056
0.039	0.013	0.001	0.034	0.000	0.086
0.016	0.009	0.000	0.011	0.000	0.037
0.020	0.003	0.001	0.011	0.000	0.036
0.008	0.011	0.000	0.011	0.000	0.030
0.008	0.008	0.000	0.012	0.000	0.028
0.007	0.009	0.000	0.010	0.000	0.027
0.041	0.013	0.004	0.009	0.034	0.101
0.011	0.003	0.001	0.010	0.000	0.025
0.011	0.007	0.000	0.012	0.000	0.030
0.020	0.003	0.000	0.011	0.000	0.034
0.018	0.003	0.000	0.012	0.000	0.034
0.034	0.004	0.000	0.012	0.000	0.050
0.007	0.008	0.001	0.015	0.000	0.031
0.018	0.007	0.001	0.010	0.000	0.035
0.025	0.003	0.000	0.007	0.000	0.036
0.019	0.004	0.000	0.007	0.000	0.031
0.018	0.007	0.053	0.011	0.059	0.148
0.004	0.020	0.001	0.012	0.000	0.036
0.012	0.008	0.001	0.009	0.000	0.030
0.008	0.010	0.000	0.011	0.000	0.029
0.006	0.018	0.000	0.011	0.000	0.035
0.029	0.003	0.000	0.012	0.000	0.045
0.020	0.005	0.000	0.014	0.000	0.039
0.008	0.013	0.001	0.012	0.000	0.033
0.012	0.009	0.046	0.010	0.000	0.077
0.029	0.031	0.001	0.010	0.000	0.070
0.008	0.008	0.000	0.015	0.018	0.050
0.027	0.007	0.000	0.010	0.000	0.044
0.007	0.009	0.000	0.011	0.000	0.029
0.007	0.017	0.000	0.010	0.000	0.035
0.032	0.004	0.001	0.009	0.000	0.046
0.018	0.004	0.000	0.011	0.000	0.033
0.007	0.010	0.001	0.013	0.000	0.031
0.025	0.008	0.001	0.013	0.000	0.047
0.012	0.007	0.001	0.011	0.000	0.032
0.033	0.003	0.000	0.007	0.000	0.043
0.005	0.010	0.000	0.010	0.013	0.038
0.017	0.020	0.041	0.010	0.000	0.087
0.054	0.007	0.000	0.013	0.000	0.075
0.010	0.010	0.000	0.011	0.000	0.031
0.006	0.013	0.000	0.011	0.000	0.031
0.046	0.019	0.000	0.009	0.000	0.074
0.008	0.011	0.000	0.017	0.000	0.036
0.021	0.009	0.000	0.011	0.000	0.041
0.031	0.004	0.000	0.013	0.000	0.048
0.007	0.011	0.000	0.011	0.000	0.029
0.018	0.007	0.000	0.013	0.017	0.055
0.036	0.021	0.001	0.019	0.000	0.077
0.019	0.004	0.001	0.012	0.000	0.035
0.012	0.006	0.041	0.009	0.000	0.069
0.027	0.033	0.000	0.009	0.000	0.069
0.022	0.006	0.000	0.010	0.000	0.039
0.007	0.013	0.001	0.014	0.000	0.035
0.009	0.009	0.000	0.015	0.000	0.034
0.072	0.020	0.000	0.007	0.000	0.100
0.005	0.012	0.000	0.009	0.000	0.026
