flush	read	convert	parse	total
0.002	0.074	0.022	0.000	0.004	0.100
0.000	0.060	0.001	0.000	0.000	0.061
0.000	0.002	0.010	0.000	0.000	0.013
0.000	0.006	0.001	0.000	0.001	0.008
0.000	0.005	0.014	0.000	0.000	0.019
0.000	0.008	0.004	0.000	0.000	0.013
0.000	0.005	0.015	0.000	0.000	0.021
0.000	0.017	0.002	0.000	0.003	0.022
0.000	0.028	0.007	0.000	0.000	0.035
0.000	0.005	0.003	0.000	0.000	0.008
0.000	0.010	0.001	0.000	0.000	0.011
0.000	0.025	0.002	0.000	0.000	0.028
0.000	0.008	0.012	0.000	0.000	0.020
0.000	0.011	0.002	0.000	0.000	0.013
0.000	0.008	0.001	0.000	0.000	0.010
0.000	0.009	0.002	0.000	0.000	0.012
0.000	0.011	0.001	0.000	0.000	0.013
0.000	0.005	0.013	0.000	0.000	0.019
0.000	0.011	0.007	0.000	0.000	0.018
0.000	0.005	0.002	0.000	0.003	0.009
0.000	0.001	0.007	0.000	0.000	0.009
0.000	0.006	0.002	0.000	0.001	0.009
0.000	0.005	0.004	0.000	0.000	0.010
0.000	0.008	0.002	0.000	0.000	0.010
0.000	0.005	0.002	0.000	0.000	0.008
0.000	0.007	0.002	0.000	0.000	0.009
0.000	0.040	0.001	0.000	0.000	0.042
0.000	0.005	0.032	0.000	0.000	0.037
0.000	0.026	0.002	0.000	0.000	0.028
0.000	0.007	0.005	0.001	0.000	0.012
0.000	0.012	0.001	0.000	0.000	0.014
0.000	0.008	0.013	0.000	0.000	0.021
0.000	0.011	0.001	0.000	0.000	0.013
0.000	0.017	0.001	0.000	0.000	0.018
0.000	0.009	0.003	0.000	0.016	0.028
0.000	0.007	0.014	0.000	0.000	0.021
0.000	0.006	0.002	0.000	0.000	0.009
0.000	0.029	0.001	0.000	0.000	0.030
0.000	0.005	0.028	0.000	0.000	0.033
0.000	0.008	0.003	0.000	0.001	0.012
0.000	0.002	0.010	0.000	0.000	0.012
0.000	0.008	0.004	0.000	0.000	0.012
0.000	0.010	0.002	0.000	0.001	0.012
0.000	0.008	0.014	0.000	0.000	0.022
0.000	0.010	0.002	0.003	0.001	0.016
0.000	0.010	0.001	0.000	0.006	0.017
0.000	0.005	0.002	0.000	0.000	0.007
0.000	0.006	0.001	0.000	0.002	0.009
0.000	0.005	0.011	0.000	0.000	0.016
0.000	0.011	0.003	0.000	0.000	0.014
0.000	0.006	0.018	0.000	0.000	0.025
0.000	0.009	0.003	0.000	0.000	0.012
0.000	0.021	0.011	0.000	0.000	0.032
0.000	0.008	0.011	0.000	0.001	0.019
0.000	0.011	0.001	0.000	0.001	0.013
0.000	0.010	0.001	0.000	0.000	0.012
0.000	0.009	0.001	0.000	0.000	0.011
0.000	0.005	0.013	0.000	0.000	0.019
0.000	0.025	0.002	0.000	0.000	0.027
0.000	0.004	0.021	0.000	0.000	0.026
0.000	0.001	0.003	0.000	0.000	0.004
0.000	0.007	0.011	0.000	0.000	0.018
0.000	0.005	0.001	0.000	0.000	0.007
0.000	0.005	0.008	0.000	0.000	0.013
0.000	0.004	0.015	0.000	0.002	0.022
0.000	0.006	0.013	0.000	0.000	0.019
0.000	0.006	0.007	0.000	0.000	0.013
0.000	0.006	0.003	0.000	0.000	0.009
0.000	0.011	0.002	0.000	0.000	0.014
0.000	0.008	0.002	0.000	0.000	0.010
0.000	0.023	0.004	0.000	0.001	0.028
0.000	0.013	0.001	0.000	0.001	0.015
0.000	0.024	0.002	0.000	0.003	0.029
0.000	0.007	0.004	0.000	0.000	0.011
0.000	0.008	0.015	0.000	0.000	0.024
0.000	0.007	0.016	0.000	0.003	0.027
0.000	0.025	0.003	0.000	0.000	0.028
0.000	0.006	0.001	0.000	0.000	0.008
0.000	0.011	0.002	0.000	0.000	0.013
0.000	0.010	0.002	0.000	0.000	0.012
0.000	0.002	0.002	0.000	0.000	0.004
0.000	0.010	0.002	0.000	0.000	0.012
0.000	0.006	0.003	0.000	0.000	0.009
0.000	0.009	0.011	0.000	0.000	0.020
0.000	0.007	0.001	0.000	0.000	0.009
0.000	0.009	0.002	0.000	0.002	0.013
0.000	0.011	0.002	0.000	0.000	0.013
0.000	0.007	0.012	0.000	0.000	0.020
0.000	0.012	0.002	0.000	0.004	0.019
0.000	0.010	0.014	0.000	0.000	0.025
0.000	0.012	0.002	0.000	0.004	0.019
0.000	0.006	0.001	0.000	0.002	0.010
0.000	0.005	0.001	0.000	0.000	0.007
0.000	0.030	0.002	0.000	0.000	0.032
0.000	0.007	0.044	0.000	0.000	0.051
0.000	0.030	0.002	0.000	0.000	0.033
0.000	0.006	0.015	0.000	0.003	0.024
0.000	0.009	0.005	0.000	0.000	0.015
0.000	0.008	0.001	0.000	0.000	0.010
0.000	0.008	0.002	0.000	0.002	0.012
0.000	0.002	0.001	0.000	0.000	0.003
0.000	0.007	0.002	0.000	0.000	0.009
0.000	0.008	0.002	0.000	0.011	0.021
0.000	0.027	0.001	0.000	0.000	0.029
0.000	0.005	0.003	0.000	0.002	0.010
0.000	0.009	0.005	0.000	0.000	0.015
0.000	0.008	0.002	0.000	0.000	0.010
0.000	0.008	0.006	0.000	0.000	0.015
0.000	0.008	0.001	0.000	0.000	0.010
0.000	0.015	0.002	0.000	0.000	0.018
0.000	0.018	0.001	0.000	0.003	0.023
0.000	0.019	0.003	0.000	0.000	0.023
0.000	0.015	0.005	0.000	0.000	0.020
0.000	0.012	0.001	0.000	0.000	0.014
0.000	0.009	0.001	0.000	0.000	0.011
0.000	0.010	0.014	0.000	0.000	0.025
0.000	0.022	0.002	0.000	0.001	0.025
0.000	0.006	0.001	0.000	0.000	0.008
0.000	0.006	0.002	0.000	0.003	0.011
0.000	0.008	0.003	0.000	0.001	0.012
0.000	0.002	0.018	0.000	0.000	0.020
0.000	0.006	0.002	0.000	0.002	0.009
0.000	0.005	0.004	0.000	0.000	0.010
0.000	0.010	0.021	0.000	0.000	0.031
0.000	0.005	0.013	0.000	0.000	0.018
0.000	0.012	0.006	0.000	0.000	0.019
0.000	0.006	0.001	0.000	0.000	0.008
0.000	0.006	0.001	0.000	0.000	0.007
0.000	0.007	0.024	0.000	0.000	0.031
